id,name,h,v,c
256,Crimson Red,7.5R,4,14
211,White,7.5P,9,2
353,Cordovan,10R,1,4
213,Sanguine,7.5R,4,12
346,Burgundy,2.5YR,1,4
343,Rust,10R,3,8
203,Burnt Sienna,10R,3,4
363,Garnet,10R,2,4
263,Indian Red,10R,3,4
222,Burnt Orange,7.5R,6,14
313,Nut Brown,7.5R,6,4
283,Van Dyke Brown,2.5YR,2,4
266,Pale Vermilion,10R,5,14
333,Titian Brown,10R,4,10
253,Cocoa Brown,5YR,3,2
212,Deep Orange,10R,6,16
207,Deep Chrome Yellow,5YR,7,10
276,Buff,5YR,9,4
233,Raw Sienna,5YR,5,10
227,Corn Yellow,5Y,9,8
257,Deep Cadmium Yellow,5Y,9,8
277,Ivory,2.5Y,9,2
243,Light Ochre,7.5Y,7,8
247,Light Naples Yellow,7.5Y,9,2
217,Lemon Yellow,10Y,9,8
428,Beech Green,2.5GY,6,8
318,Citrine Green,10Y,6,6
267,Colonial Yellow,2.5GY,8,6
223,Burnt Umber,2.5GY,4,2
268,Light Sap Green,5GY,9,12
348,Endive Green,7.5GY,9,14
308,Palm Green,7.5GY,4,8
293,Sepia,7.5GY,3,6
378,Erin Green,10GY,6,12
208,Sap Green,10GY,9,14
408,Fern Green,10GY,7,12
448,Eden Green,10GY,8,12
248,Olive Green,10GY,6,12
218,Veronese Green,10GY,9,12
228,Hooker's Green,2.5G,8,12
238,Emerald Green,2.5G,8,12
278,Dark Green,2.5G,6,10
418,Neptune Green,2.5G,9,10
258,Viridian Green,2.5G,8,12
288,Pistachio Green,7.5G,9,6
298,Bottle Green,7.5G,3,4
245,Light Turquoise Blue,10G,9,8
215,Turquoise Blue,10G,8,10
368,Smoke Green,2.5BG,7,8
205,Peacock Blue,5BG,7,8
235,Light Blue,10BG,9,6
229,Black,2.5BG,1,2
209,Warm Deep Grey,2.5B,5,2
219,Warm Medium Grey,2.5B,5,2
279,Cold Medium Grey,5B,5,4
299,Cold Very Light Grey,5B,8,2
289,Cold Light Grey,5B,7,2
259,Cold Deep Grey,7.5B,3,4
295,Prussian Blue,7.5B,1,2
365,Ceylon Blue,2.5PB,3,6
255,Azure Blue,2.5PB,7,10
239,Warm Light Grey,2.5PB,7,4
249,Warm Very Light Grey,5PB,9,2
405,Blue Haze,5PB,4,10
275,Deep Blue,7.5PB,5,16
415,Tile Blue,7.5PB,4,14
265,Ultramarine Blue,7.5PB,6,14
345,Harbor Blue,7.5PB,4,14
225,Iron Blue,7.5PB,3,16
305,Spruce Blue,7.5PB,2,12
285,Indigo Blue,7.5PB,2,14
244,Blue Violet,7.5PB,2,14
224,Violet,7.5PB,3,20
254,Hyacinth Violet,7.5PB,4,26
214,Persian Rose,10PB,4,24
304,Orchid,2.5P,5,24
314,Old Lilac,2.5P,6,18
324,Plum,7.5PB,1,12
216,Maroon,2.5P,4,18
234,Red Violet,2.5P,4,22
246,Rose Beige,7.5P,6,22
273,Tuscan Red,7.5P,4,12
316,Old Rose,7.5P,6,12
236,Carmine,10P,3,12
306,Orchid Pink,2.5RP,6,22
383,Coral,2.5RP,5,10
336,Carnival Red,5RP,6,20
366,Shell Pink,2.5RP,8,6
376,Peach,2.5RP,7,8
204,Sandalwood,5RP,7,8
416,Dark Rose,7.5RP,4,10
206,Carmine Madder,2.5R,5,16
406,Flamingo,10RP,5,16
226,Scarlet,5R,5,18
286,Madder Pink,10RP,7,10
296,Salmon Pink,2.5R,6,16
